Matches,MatchesSplit,counts
CHEMICALS,Samking Chemicals Nigeria Ltd,19
OF,TELEVISION STATION RUSSIA-1,1
DOLPHIN,FREEDOM,46
A,'Ali Sulayman Mas'ud 'Abd AL-SAYYID,5
Jun,REVOLUTIONARY PEOPLE'S STRUGGLE,9
A,A.C. Holdings Inc.,204
Dev,VENTORA DEVELOPMENT SASU,1
African,AFRICAN COMMODITIES DMCC,1
HOUSIN,Mati UR-REHMAN,4
OMAR,Khalil JARRAYA,4
OMAR,Mohammed OMAR,4
BUSINESS,THE BUSINESS CENTRE LTD.,29
BANK,PARSIAN BANK,20
ENERGY,AITEO ENERGY RESOURCES LTD,22
ORGANIZATION,JAM'YAH TA'AWUN AL-ISLAMIA,2
EB,Dr Ibrahim 'Awwad Ibrahim 'Ali AL-BADRI,40
ENERGY,SINA ENERGY DEVELOPMENT COMPANY,2
SHIPPING,SALLIZAR SHIPPING SAL,6
SHIPPING,CHONGCHONGANG SHIPPING COMPANY LIMITED,6
SHIPPING,HAPJANGGANG SHIPPING CORP,2
SHIPPING,GREEN SHIPPING LTD,10
SUCCESS,SANA,3
PETROCHEMICAL,TRILIANCE PETROCHEMICAL CO. LTD.,2
PETROCHEMICAL,SPOG Petrochemical Limited,2
BANCO,BANCO PRODEM SA,2
GENERAL,ALETRA GENERAL TRADING,5
URUGUAY,BANCO BANDES URUGUAY SA,2
DAH,Moussa Ben Amor Ben Ali ESSAADI,3
HASSEN,Mohamed LAHBOUS,22
HASSEN,Zulkifli Bin Abdul HIR,19
HASSEN,Hacene ALLANE,20
PETER,Jose Maria SISON,5
dept,SANAM INDUSTRIAL GROUP,2
dept,DEFENSE TECHNOLOGY AND SCIENCE RESEARCH CENTER,3
dept,SPECIAL INDUSTRIES GROUP,1
dept,CHINA AEROSPACE SCIENCE AND TECHNOLOGY CORPORATION (CASC) 1ST ACADEMY FIRST DESIGN DEPARTMENT,6
Finance,BUSINESS-FINANCE LIMITED LIABILITY COMPANY,6
EXPORT,Auto Export Shipping Inc.,18
TO,RYONG GANG 2,1
ENGINEERING,INTEGRATED ENGINEERING SERVICES,9
TOWN,GRAND TOWN TOURIST CITY,5
TRADE,ADVANCE ELECTRICAL AND INDUSTRIAL TECHNOLOGIES SL,1
NO,CHINA ELECTRONICS TECHNOLOGY GROUP CORPORATION 14TH RESEARCH INSTITUTE (CETC 14),6
INTERNATIONAL,SPI INTERNATIONAL,8
INDIA,HUAWEI TECHNOLOGIES INDIA PRIVATE LIMITED,12
INTERNATIONAL,STRATUM INTERNATIONAL TRADING LIMITED,5
INTERNATIONAL,FORTUNE INTERNATIONAL TRADING,5
INTERNATIONAL,QINGDAO ZHIZAO INTERNATIONAL TRADING,2
INTERNATIONAL,GLASGOW INTERNATIONAL TRADING,2
INTERNATIONAL,TNK TRADING INTERNATIONAL S.A.,2
INTERNATIONAL,"MULTITEX INTERNATIONAL TRADING, S.A.",2
TECH,IS'VISION,5
CO,"HISILICON TECHNOLOGIES CO., LTD (HISILICON)",3
ENTERPRISE,NEZHAD ENTERPRISE COMPANY,3
SHIPPING,MONSOON SHIPPING LTD,18
SHIPPING,HERMIS SHIPPING SA,6
SHIPPING,GOOD LUCK SHIPPING LLC,2
HK,YASHEN (HK) ELECTRONICS,5
HK,JADESHINE ENGINEERING HK CO.,4
HK,MCFLY PLASTIC HK LIMITED,5
SHIPPING,IRITAL SHIPPING LINES COMPANY,12
LINES,BLUE LINES COMPANY,4
HK,DAYSTAR ELECTRIC (HK) LTD,5
SHIPPING,KHAZAR SEA SHIPPING LINES,4
INTERNATIONAL,International Asset Holding Corp.,4
INDUSTRIES,IRAN AIRCRAFT INDUSTRIES,1
INDUSTRIES,IRAN ELECTRONICS INDUSTRIES,1
STOCK,PUBLIC JOINT STOCK COMPANY TRANSKAPITALBANK,2
INTEGRATED,JULIANN INTEGRATED SERVICES,1
SERVICES,Fambo Integrated Services Limited,1
INTEGRATED,JULLIAN INTEGRATED SERVICES,1
ST,MAIN STREET 1095 PROPRIETARY LIMITED,1
AWC INTERNATIONAL LIMITED,AIR WEAPON COMPLEX,1
SHIPPING,MARBLE SHIPPING LTD,4
SHIPPING,ORIENT SHIPPING LIMITED,4
SHIPPING,SPRING SHIPPING LIMITED,4
SHIPPING,UNIVERSE SHIPPING LIMITED,4
SHIPPING,AQUA SHIPPING LTD,4
SHIPPING,NATIONWIDE SHIPPING LTD,4
IN,JUND AL-KHILAFAH IN TUNISIA,11
TRANSFER,GOLDEN MONEY TRANSFER,2
BENEFICIARY,SUBSIDIARY BANK SBERBANK OF RUSSIA JOINT STOCK COMPANY,5
HANA,HANA BANKING CORPORATION LTD,15
HK,SUR-LINK TECHNOLOGY (HK) LTD.,2
GROUP,"DONGMEI INVESTMENT GROUP CO., LIMITED",3
GROUP,"UNION DEVELOPMENT GROUP CO., LTD.",1
LLC,LIMITED LIABILITY COMPANY RUTARGET,15
GLOBALCARGO,GLOBAL VISION GROUP,25
MUSLIM,Zaurbek GUCHAYEV,6
LUCKY,NEGAR,1
IN,JIN TAI,2
IN,JIN TENG,2
A,Ahmed Mohammed Hamed ALI,1
BNG,RAK RANG,3
TECHNOLOGY,FJ TECHNOLOGY SERVICE INC,3
TECHNOLOGY,JINGHO TECHNOLOGY CO. LIMITED,3
TECHNOLOGY,REEKAY TECHNOLOGY LTD,3
DE,DE UNITED FOODS INDUSTRIES LTD,12
IND,Jabros Ind Nig Ltd.,40
GROUP,KTK GROUP,2
GROUP,ORIENTAL LOGISTICS GROUP LTD,2
GROUP,ASYAF INTERNATIONAL HOLDING GROUP FOR TRADING AND INVESTMENT,20
IN,Women In Oil,1
NEW,TAIZHOU CBM-FUTURE NEW MATERIAL SCIENCE AND TECHNOLOGY CO LTD,3
GLOBAL,ACTION GLOBAL,3
OF,NEW PEOPLE'S ARMY / COMMUNIST PARTY OF THE PHILIPPINES,8
BANK,BANK OF INDUSTRY AND MINE,6
OCEAN,ABYAN,14
NIG,Forstch Technical Nig Limited,22
NIG,Johny Young (Nig.) Ltd.,22
NIG,Elabbroch Integration Nig Ltd.,22
NIG,Queen Hair Nig Ltd.,22
EXPORT,SAD IMPORT EXPORT COMPANY,6
IMPORT,SINA PAYA SANAT DEVELOPMENT CO.,6
IMPORT,EKO DEVELOPMENT AND INVESTMENT COMPANY,6
IMPORT,SEGOVIA IMPORT & EXPORT CORP,6
AFRICA,ARNICA,2
COMMERCIAL,COMMERCIAL TRUST CORPORATION,2
KHALID,Sajjid MIR,4
KHALID,Hafiz Khalid WALID,1
AL,Tarek Ben Habib Ben Al-Toumi MAAROUFI,1
KHALID,Khalid AL-BAKUR,3
KHALID,KHALID BIN AL-WALID ARMY,1
KHALID,Khalid Ahmad Jumah AL-SUDANI,3
KHALID,Khalid Abd al-Rahman Hamd AL-FAWAZ,3
KHALID,Neil Christopher PRAKASH,3
A,Adnan Abu Walid AL-SAHRAWI,1
IBN,L'Hadi BENDEBKA,1
AL,Mohammed Karim Yusop FAIZ,1
KHALID,Khaled AL-ZUBAIDI,1
A,Ahmed DABBASHI,2
A,Mustafa HAMID,1
HOLDING,Exoro Holding B.V.,6
HOLDING,VistaJet Holding SA,6
HOLDING,RMAG HOLDING LTD,6
HOLDING,JSC INTEGRAL,6
HOLDING,CASTLE HOLDING GMBH,6
NO,ALMACEN FUTURO NO. 1,14
CAY,Hsein Tai TSAI,2
IND,JOZA INDUSTRIAL COMPANY,2
EMMA,JASMINE,3
BAL,BUTEMBO AIRLINES,27
BANK,PERSIA INTERNATIONAL BANK PLC,19
BANK,GULF INTERNATIONAL BANK GROUP,1
BANK,KISH INTERNATIONAL BANK,1
BANK,CARIBBEAN INTERNATIONAL BANK,1
BANK,ILSIM INTERNATIONAL BANK,1
BANK,BEAR INTERNATIONAL BANK,1
BANK,MIAMI INTERNATIONAL BANK,1
BANK,RUSSIAN NATIONAL COMMERCIAL BANK,1
BANK,STRATFORD INTERNATIONAL BANK INC,1
JUSTICE,DAN,2
GENERAL,THE BEST LEADER GENERAL TRADING LLC,4
GENERAL,LAVENDER GENERAL TRADING,4
GENERAL,SAKAN GENERAL TRADING,4
GENERAL,POLINEX GENERAL TRADING LLC,4
GENERAL,ZULEKHA GENERAL TRADING LLC,3
GENERAL,ZURMAT GENERAL TRADING,3
GENERAL,MICATIC GENERAL TRADING,3
GENERAL,ADOON GENERAL TRADING FZE,3
GENERAL,PEGASUS GENERAL TRADING FZC,3
GENERAL,ODYSSEY GENERAL TRADING FZC,3
GENERAL,SIMA GENERAL TRADING CO FZE,3
for,AL-MULATHAMUN BATTALION,1
HORIZON,HALTI,2
INTERNATIONAL,INTERNATIONAL GENERAL RESOURCING FZE,1
INDUSTRIES,DEFENSE INDUSTRIES ORGANIZATION,2
MOVEMENT,AL-SHABAAB,16
NATIONAL,DOM MITRA BANK,1
SHIPPING,SHANGHAI DONGFENG SHPG CO LTD,2
SHIPPING,SHIPPING COMPUTER SERVICES COMPANY,2
ENERGY,International Energy Services,4
SAVE,SAVE THE CHILDREN INTERNATIONAL,4
CH,Aamir Ali CHAUDHRY,3
OVERSEAS,OVERSEAS TRADING COMPANY,2
AFRICA,BOKO HARAM,7
ENERGY,Seven Energy International Limited,1
ENERGY,DYNAPEX ENERGY LIMITED,1
ENERGY,SAHARA ENERGY RESOURCE LIMITED,3
ENERGY,MESBAH ENERGY COMPANY,1
LA,AL QA'IDA,20
COMPANY,ESPANA INFORMATICA S.A.,2
BANK,BRITISH BANK OF COMMERCE,12
BANK,CARIBBEAN BANK OF COMMERCE LTD,1
BANK,AMERICAN BANK OF COMMERCE CORP,2
BANK,CALIFORNIA BANK OF COMMERCE INC,1
TECHNOLOGIES,"TIMI TECHNOLOGIES CO., LTD",1
TECHNOLOGIES,POLY TECHNOLOGIES INC,1
TECHNOLOGIES,NETPOSA TECHNOLOGIES LIMITED,1
TECHNOLOGIES,FIBERHOME TECHNOLOGIES GROUP,1
HOLDING,ELLISSA HOLDING,2
INVESTMENT,CASTLE INVESTMENT HOLDING,4
HOLDING,AMAN HOLDING COMPANY,2
INVESTMENT,SPECTRUM INVESTMENT GROUP HOLDING SAL,9
HOLDING,ASCOTEC HOLDING GMBH,2
HOLDING,JIAXIANG ENERGY HOLDING PTE. LTD.,2
HOLDING,IFIC HOLDING AG,2
HOLDING,GEMUHO HOLDING INC,2
HOLDING,MAGUS HOLDING LLC,2
HOLDING,KHITI HOLDING GROUP,2
HOLDING,LTS HOLDING LIMITED,2
Bank,BANK MASKAN,1
PUDONG,CHINA NATIONAL PRECISION MACHINERY IMPORT/EXPORT CORPORATION,2
PUDONG,CPMIEC SHANGHAI PUDONG COMPANY,2
SERVICES,"GOMEI AIR SERVICES CO., LTD.",1
SHIPPING,JUPITER SEAWAYS SHIPPING,1
GENERALE,PAIN VICTOIRE,22
NO,YU PHYONG 5,36
NAPOLI,NAVARZ,3
DEEP,DEEP SEA,8
OR,BELEMA LIGHT CRUDE,3
S,ENI S.P.A,2
SEA,SEA STAR III,5
S,A.S.P. BUILDERS,3
S,P.S. FAMILY LIMITED,2
POLYMER,TIVA POLYMER CO,3
POLYMER,ENGRO POLYMER & CHEMICALS LIMITED,3
"NUKE TRANSPORTES, LIMITADA",CONSTRUCTORA HLP,1
NATIONAL BANK LIMITED,NATIONAL BANK OF COMMONWEALTH CORP,1
RAJA,Sylvestre MUDACUMURA,2
HONGKONG,HongKong Tany Industrial Co Ltd,9
HONGKONG,GLOBE COMMUNICATION (HK) LTD.,1
SHANGHAI,"SHANGHAI QUANTUMCTEK CO., LTD.",2
SHANGHAI,"SHANGHAI NOVA INSTRUMENTS CO., LTD.",2
CHINA,CEC LIMITED,6
SHANGHAI,BOYLE CHEMICAL CO LTD,4
MALI,Mali,17
TAI,TAIPEN SA DE CV,1
KARIM,Mohammad Reza Lahaman KIRAM,2
KARIM,KIAZAND,1
BEN-AL,Amir Muhammad Sa'id Abdal-Rahman AL-MAWLA,1
SERVICES,TECHCARE SERVICES FZ LLC,1
DONG,DONG FENG 6,1
IMP,"WUHAN SANJIANG IMPORT AND EXPORT CO., LTD",4
TINCAN,MAHNAM,2
IS,ISIS-SOMALIA,2
IS,ISIS-EGYPT,2
SERVICES,SWISS MANAGEMENT SERVICES SARL,1
SERVICES,URANTIA SERVICES S.A.,1
TECH,BRILLIANCE TECHNOLOGY LTD,2
GENERAL,MASOMI GENERAL TRADING,2
GENERAL,MAYROW GENERAL TRADING,2
CARGO,PARTHIA CARGO LLC,2
INDUSTRIAL,SHANXI HEMU INDUSTRIAL CO LTD,5
AMMAR,Fethi Ben Rebai Ben Absha MNASRI,1
TAK,TEYREBAZEN AZADIYA KURDISTAN,1
BEN,Qasim AL-RIMI,1
GROUP,THE HANDLE GROUP COMPANY,3
GROUP,SHINE DRAGON GROUP LIMITED,1
GROUP,BLUE LAGOON GROUP LTD,1
GROUP,BAHMAN GROUP,2
LINE,GPS Line Co. Limited,4
LINE,Pacific Silver Line Limited,4
IS,Abdelkader Mahmoud ES SAYED,2
STAR,SEVEN STAR COMPANY,1
ENGINEERING,MEAMAR SARL,1
ENGINEERING,RASTAFANN ERTEBAT ENGINEERING COMPANY,1
ENGINEERING,FATER ENGINEERING INSTITUTE,1
ENGINEERING,GOLZA ENGINEERING COMPANY,1
ENGINEERING,SEPASAD ENGINEERING COMPANY,1
GLENCORE,GLENCORE ENERGY,2
ABDULLAH,Amir ABDULLAH,2
SULIMAN,Emrah ERDOGAN,1
SULIMAN,Said ARIF,1
ABDULLAH,Ahmed Hosni RARRBO,2
ABDULLAH,Youssef ABDAOUI,2
ABDULLAH,Ahmad ZERFAOUI,2
ABDULLAH,Mondher BAAZAOUI,2
ABDULLAH,Musa HILAL,2
ABDULLAH,Abdulla K. AL SULEIMANI,1
COMMERCIAL,EUROPAISCH-IRANISCHE HANDELSBANK AG,28
BANK,FOREIGN TRADE BANK OF THE DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,51
SOUTH,PETROCHEM SOUTH EAST LTD,2
SOUTH,SOUTH-EAST MOVEMENT,8
KOREA,KOREA COMPUTER CENTER,12
KOREA,KOREA UNGUM CORPORATION,2
KOREA,NAMCHONGANG TRADING CORPORATION,2
KOREA,KOREA ZUZAGBONG MARITIME LTD,2
KOREA,KOREA GENERAL CORPORATION FOR EXTERNAL CONSTRUCTION,4
KOREA,KOREA MYONGDOK SHIPPING CO,2
KOREA,KOREA SAMJONG SHIPPING CO,2
USA,BELNEFTEKHIM USA INC,2
USA,LA HACIENDA (USA) LLC,2
USA,AERO CONTINENTE (USA) INC,2
USA,MAGUS HOLDINGS USA CORP,2
REFINERY,RN-KOMSOMOLSKY REFINERY LLC,3
REFINERY,BANIAS REFINERY COMPANY,3
REFINERY,HOMS REFINERY COMPANY,3
REFINERY,COASTAL REFINERY COMPANY PRIVATE JSC,3
DEVELOPMENT,Novel Property and Development Ltd,2
INVESTMENT,Majope Investment Ltd,1
INVESTMENT,Enpat Investment Co Ltd,1
INVESTMENT,MOMENT INVESTMENT LIMITED,1
INVESTMENT,BUALI INVESTMENT COMPANY,1
INVESTMENT,THE LIMITED LIABILITY COMPANY INVESTMENT COMPANY ABROS,1
INVESTMENT,PARDIS INVESTMENT COMPANY,1
INVESTMENT,HAMIDCO INVESTMENT LIMITED,1
INVESTMENT,Ghazali Yakubu Investment Limited,1
INVESTMENT,TAKTAR INVESTMENT COMPANY,1
INVESTMENT,CHAPS INVESTMENT INC,1
INVESTMENT,INMOBILIUM INVESTMENT CORP.,1
INVESTMENT,REY INVESTMENT COMPANY,1
INVESTMENT,ARMED FORCES SOCIAL SECURITY INVESTMENT COMPANY,1
INVESTMENT,Sunbeam International Investment Corporation,1
INVESTMENT,TADBIR INVESTMENT COMPANY,1
INVESTMENT,MODABER,1
INVESTMENT,GHADIR INVESTMENT COMPANY,2
FUND,AL MASHREQ INVESTMENT FUND,7
LOGISTICS,PRIMORYE MARITIME LOGISTICS CO LTD,1
LLC,LIMITED LIABILITY COMPANY GARANT-SV,1
LOGISTICS,AIRBORNE LOGISTICS LLC,2
LOGISTICS,TEOFILA LOGISTICS,2
LOGISTICS,"INSTAR LODZHISTIKS, OOO",1
LOGISTICS,SEAJET COMPANY LIMITED,1
LOGISTICS,RISING LOGISTICS COMPANY LIMITED,1
LOGISTICS,HAT LOGISTICS SDN BHD,2
LOGISTICS,MUSHKO LOGISTICS PTE. LTD.,1
LOGISTICS,ELIRON LOGISTICS OY,2
LOGISTICS,SUKE LOGISTICS LTD,2
LLC,NORD PROJECT LLC TRANSPORT COMPANY,5
LLC,LLC SK CONSOL-STROI LTD,1
COMMUNICATIONS,"WUHAN MAILITE COMMUNICATION CO., LTD.",2
COMMUNICATIONS,STARS COMMUNICATIONS LTD,2
DEVELOPMENT,"GUILIN CHANGHAI DEVELOPMENT CO., LTD.",4
"AGRICULTURAL BANK OF CHINA, THE",BANK KESHAVARZI IRAN,55
INDUSTRIAL,Kingsonic Ind. Dev.,1
TECH,HONGBO INDUSTRIAL TECHNOLOGY,3
TECH,MICRO ELECTRONIC TECHNOLOGY,1
DEVELOPMENT,AL-AMER DEVELOPMENT AND REAL ESTATE INVESTMENT,6
INDUSTRIAL,BEHSHAHR INDUSTRIAL DEVELOPMENT CORP.,1
DEVELOPMENT,KOREA MINING DEVELOPMENT TRADING CORPORATION,1
ELECTRONIC,LANDA ARIYA ELECTRONIC CO.,2
ELECTRONIC,"DONGGUAN HUIQUN ELECTRONIC CO., LTD.",1
ELECTRONIC,NANJING GUOBO ELECTRONIC,1
ELECTRONIC,"XIAN SEMI ELECTRONIC CO., LTD.",1
ELECTRONIC,SARANSK ELECTRONIC COMPANY,1
ELECTRONIC,Tri Star Electronic Pte Ltd,1
ELECTRONIC,GOLDI ELECTRONICS SA,1
ELECTRONIC,ELECTRONIC COMPONENTS INDUSTRIES CO,1
WANG,HWANG GUM SAN 2,1
FINANCE,NAFA FINANCE SARL,2
FINANCE,LIMITED LIABILITY COMPANY SBERBANK FINANCIAL COMPANY,2
FINANCE,B-FINANCE LTD,2
FINANCE,DCB FINANCE LIMITED,12
FINANCE,SOLLERS-FINANCE LIMITED LIABILITY COMPANY,2
FINANCE,M FINANS,2
FINANCE,AP FINANCE LIMITED,2
FINANCE,MITSUBISHI FINANCE CORPORATION,2
FINANCE,GLENDOR FINANCE SA,2
ENTERPRISES,LORA ENTERPRISES LIMITED,1
ENTERPRISES,PIRUSETI ENTERPRISES LTD,1
ENTERPRISES,WESTLINE ENTERPRISES INC,1
SAI,SHAHID ALAMOLHODA INDUSTRIES,6
EUROPE,IRISL EUROPE GMBH,7
EUROPE,SBERBANK EUROPE AG,7
EUROPE,GARANTEX EUROPE OU,14
IN,AL-QA'IDA IN THE ARABIAN PENINSULA,19
EUROPE,ROOL EUROPE AG,7
OIL,LUKOIL OAO,3
OIL,PARS OIL CO.,3
OIL,BEHRAN OIL CO.,6
OIL,CLOSED JOINT STOCK COMPANY ENERGO-OIL,3
OIL,MANCO OIL COMPANY,3
OIL,PUBLIC JOINT STOCK COMPANY GAZPROM NEFT,3
OIL,Tecon Oil Services Limited,5
INTL,AC INTERNATIONAL,198
BANK,BANK OF BUSINESS WESTERN SAMOA,8
BANK,BANC OF OMAHA,8
BANK,CHARTER BANK OF USA INC,5
STEEL,WEMPCO STEEL MILLS COMPANY LIMITED,8
STEEL,PEOPLE'S STEEL MILLS LTD,5
EQUIPMENT,"JIUTIAN INTELLIGENT EQUIPMENT CO., LTD.",4
EQUIPMENT,"TIANJIN BROADCASTING EQUIPMENT CO., LTD.",5
EQUIPMENT,JIANGSU HNHB EQUIPMENT CO LTD,4
EQUIPMENT,ATLAS EQUIPMENT COMPANY LIMITED,6
MONEY,UNIMONI MONEY TRANSFER LIMITED,1
MONEY,FLEX MONEY TRANSFER LIMITED,1
MONEY,AMAL EXPRESS MONEY TRANSFER LIMITED,1
MONEY,SAKSOUK COMPANY FOR EXCHANGE AND MONEY TRANSFER,1
BANCO,BANCO DE VENEZUELA SA BANCO UNIVERSAL,1
OF,CHINA ACADEMY OF LAUNCH VEHICLE TECHNOLOGY,16
NO,WOORY STAR,17
N.A,Anders Cameroon Ostensvig DALE,4
UNITED,UNITED WORLD INTERNATIONAL,1
UNITED,UNITED INTERNATIONAL EXHIBITION COMPANY SARL,1
-}{5,FIVE ENERGY OIL TRADING,9
-}{5,5TH SHIPYARD,11
-}{5,STAR 18,10
-}{5,CHON MYONG 1,10
-}{5,MARIE DE LOURDES V,10
-}{5,BONU 5,10
-}{5,INKUORTYN FIVE SRL,9
-}{5,TONG HUNG 5,8
-}{5,KUM SONG 5,8
-}{5,COMPANIA GANADERA 5 MANANTIALES S DE PR DE RL,8
-}{5,KUDO-KAI,8
SALES,Touchstar International Sales Ltd,2
MARKETING,Pipelines and Products Marketing Company,3
HUB,OEM HUB CO LTD,2
ALI,Ali Hasan Ali AL-AJMI,1
ALI,Hassan Abdullah Hersi AL-TURKI,1
ALI,Al-Hasan ALI ALI ABKAR,1
ALI,Kamal AL-HASSAN,1
ALI,Ali Khatib Haji HASSAN,1
SECOND,SECOND ECONOMIC COMMITTEE,13
DEV,AGRICULTURAL DEVELOPMENT BANK,13
BANK,TOSEE TAAVON BANK,9
DEV,AMROGGANG DEVELOPMENT BANK,7
OIL,"GAZ-OIL, OOO",4
NAME,RA NAM 3,3
SUNRISE,MARIA III,15
FOODS,DUMEK AGRO ALLIED AND FOODS INDUSTRY LTD,2
THE,AL-JIHAD,2
THE,The Laiki Group,2
THE,The Synergy Group,2
GROUP,OOO VOLGA GROUP,1
THE,ASBAT AL-ANSAR,2
CAPITAL,CAPITAL S.A.L.,11
CAPITAL,Platinum Capital Limited,1
CAPITAL,SANAA CAPITAL LLC,1
CAPITAL,LIMITED LIABILITY COMPANY SBERBANK CAPITAL,1
CAPITAL,PROGLAN CAPITAL LTD,1
CAPITAL,OTKRITIE CAPITAL CYPRUS LIMITED,1
CAPITAL,OY LANGVIK CAPITAL LTD,1
CAPITAL,RYM CAPITAL CORPORATION SA DE CB SOFOM ENR Y O RYMCAPITAL LLC,1
CAPITAL,SEPTEM CAPITAL LIMITED LIABILITY COMPANY,1
CAPITAL,VENEDIG CAPITAL S.A.S.,1
CAPITAL,VTB CAPITAL HOLDINGS CLOSED JOINT STOCK COMPANY,1
BANK,SAMAN BANK,19
ORIENTAL,FELICITY,9
INTERNATIONAL,TEHRAN INTERNATIONAL TRANSPORT CO,1
HIGH,HIGH TECHNOLOGIES LTD,10
OF,INDUSTRIAL FACTORIES OF PRECISION (IFP) MACHINERY,2
INSTRUCTION,ENERGY ENGINEERS PROCUREMENT AND CONSTRUCTION,8
NEW,NEW AHMADI LTD,1
NEW,NEW ANSARI MONEY EXCHANGE,1
NEW,NEW ANSARI LTD,1
NEW,NEW STEP ENTERPRISE LIMITED,2
NEW,New Power Agro Company Limited,15
OIL,OIL INDUSTRY INVESTMENT COMPANY,2
TRADING,ROSNEFT TRADING S.A.,3
VE,SEKIRIN TEKSTIL ITHALAT IHRACAT LE VE DIS TICARET LIMITED SIRKETI,54
TICARET,PROFESYONELLER ELEKTRONIK,5
SANAYI,ETI ELEKTROTEKNIK SANAYI VE TICARET A S,2
VE,MACPAR MAKINA SAN VE TIC AS,4
MEDITERRANEAN,SAFIRAN PAYAM DARYA SHIPPING COMPANY,2
M3,MIZAN MACHINE MANUFACTURING GROUP,1
SUPPLY,Oando Supply and Trading Ltd,1
SUPPLY,Notore Supply and Trading Limited,1
L,Radi Abd El Samie Abou El Yazid EL AYASHI,3
AKHLAK AHMED SAYED,Hafiz Saeed KHAN,3
AKHLAK AHMED SAYED,Khalil Yusif HARB,3
INVESTMENT,AMIN INVESTMENT BANK,1
INVESTMENT,TOSE-E MELLI INVESTMENT COMPANY,1
INVESTMENT,Jordan Investment & Finance Bank,2
INVESTMENT,INVESTCAPITALBANK,1
STANDARD CHARTERED BANK,ATLANTIC STANDARD CHARTERED BANK & TRUST NA,66
BANKING,Clearstream Banking SA,7
HOUSE,GURGEN HOUSE FZCO,8
AS,AL RAHMAH WELFARE ORGANIZATION,19
AS,ABU SAYYAF GROUP,1
ORG,WAFA HUMANITARIAN ORGANIZATION,5
AS,MARTYRS FOUNDATION IN LEBANON,1
AS,AL-SALAH SOCIETY,5
ORG,RAHMAH CHARITABLE ORGANIZATION,1
INTERNATIONAL,TRADE POINT INTERNATIONAL SARL,5
BANK,BLUEGATE INDUSTRIAL BANK USA NA,4
FREEDOM,AMBER,4
ZHU,ZHUHAI ZHENRONG COMPANY LIMITED,1
HI,SEYED MOUSAVI TRADING,12
TECH,CORAD TECHNOLOGY LIMITED,2
KH,KATA'IB HIZBALLAH,5
INFORMATION,INFORMATION SYSTEMS IRAN,6
UNITED,JOINT STOCK COMPANY UNITED CREDIT BUREAU,5
LLC,LIMITED LIABILITY COMPANY MARKET FUND ADMINISTRATION,3
NEW,CHENGDU BEST NEW MATERIALS CO LTD,7
SHIPPINGCO,GUDZON SHIPPING CO LLC,2
SINGAPORE,STRAIT SHIPBROKERS PTE. LTD.,28
ABDUL,Aris SUMARSONO,1
ABDUL,Dawood IBRAHIM,2
ABDUL,Abdur REHMAN,1
ABDUL,Abdul Rahman Ahmad HOTTAK,1
ABDUL,Abd al-Muhsin AL-LIBI,5
ABDUL,Muhammad Jibril ABDUL RAHMAN,1
ABDUL,Abdul Rahman AGHA,1
ABDUL,Mohamad Iqbal ABDURRAHMAN,1
